case_number,type_of_intake
CAS-02171-S1J5B8,Courts
CAS-02225-H6F7Y9,Courts
CAS-02173-L6M1Y2,Courts
CAS-02253-C2W2V4,Courts
CAS-01996-L4Q3W0,External Agency
CAS-02121-F9P0D0,External Agency
CAS-01999-Q4T6D3,External Agency
CAS-02182-T1C9S5,Direct Intake
CAS-02067-G0M7J2,External Agency
CAS-02833-V3S9V7,Courts
CAS-02251-M6W3P8,Courts
CAS-02363-K2P2R9,Courts
CAS-02922-T0R6X5,Courts
CAS-02427-G2V5S3,Courts
CAS-02548-N2K5L8,Direct Intake
CAS-02699-R7R3X3,Direct Intake
CAS-02944-P9Q6F1,External Agency
CAS-02187-Y0Q9X4,Courts
CAS-02422-Q0H1Y9,Courts
CAS-02840-Z4V2Y0,Courts
CAS-02965-V6R0X2,External Agency
CAS-02676-V9D3D5,Direct Intake
CAS-02995-S3G4X8,External Agency
CAS-02172-R6L0D9,Courts
CAS-02192-Y0N5J5,Courts
CAS-02449-F1C2K0,Courts
CAS-02436-H9T7W7,Courts
CAS-02641-L9V2R7,External Agency
CAS-02469-V7M9S5,Direct Intake
CAS-02345-V9S3M0,Direct Intake
CAS-02866-F9H7G4,External Agency
CAS-02284-T6H6H6,External Agency
CAS-02511-P5W3G0,Direct Intake
CAS-02183-G4H1B7,Direct Intake
CAS-02034-N4L6S4,External Agency
CAS-02168-R8Q8H9,Direct Intake
CAS-02070-N7B6K3,External Agency
CAS-02053-L9F5R8,External Agency
CAS-02732-F1M5W7,External Agency
CAS-02994-Q4F1Z1,External Agency
CAS-02709-F2W3P4,External Agency
CAS-02458-P1D7D2,External Agency
CAS-02000-Q9K2L4,External Agency
CAS-02439-G6P5Z3,Courts
CAS-02618-S1V2V9,External Agency
CAS-02999-R2V3X6,External Agency
CAS-02056-T2V9F2,Direct Intake
CAS-02521-Q1B8L5,External Agency
CAS-02163-W8H0J7,External Agency
CAS-02749-W5L5Y7,External Agency
CAS-02964-F9Y5P2,Direct Intake
CAS-02160-M4S8R8,External Agency
CAS-02961-F0P7L1,External Agency
CAS-02685-T6Y1V3,External Agency
CAS-02150-L6G9T3,External Agency
CAS-02403-Z3S6R5,Direct Intake
CAS-02605-V9B0X7,External Agency
CAS-02061-G6N6S4,External Agency
CAS-02602-J6X9Y1,Direct Intake
CAS-02678-S6G0L4,Direct Intake
CAS-02438-J2K6M9,External Agency
CAS-02327-K6D8P1,Direct Intake
CAS-02464-X2N4N6,Direct Intake
CAS-02366-V1L3P5,Courts
CAS-02300-N3W9S7,Courts
CAS-02086-F1Z9H2,Courts
CAS-02245-B2V1Q8,Courts
CAS-02261-X3Q8Z7,Courts
CAS-02362-Q5K0X2,Courts
CAS-02896-P2Q6Z9,External Agency
